,rating,submission_time,review_text,product_name,brand_name,rule_ratings_sentiment,tokens,rule_words_sentiment,rule_patterns_sentiment,processed_reviews,encoded_sentiment,rf_sentiment,rf_rating
11,5,2023-03-18,I use this every night and morning and it works wonders! This never fails to make my lips super hydrated! The tint and shine to it makes it even a great lip gloss during the day!,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['use', 'every', 'night', 'morning', 'work', 'wonder', 'never', 'fails', 'make', 'lip', 'super', 'hydrate', 'tint', 'shine', 'make', 'even', 'great', 'lip', 'gloss', 'day']",Neutral,Positive,use every night morning work wonder never fails make lip super hydrate tint shine make even great lip gloss day,2,Negative,5.0
12,4,2023-03-17,A little goes a long way. Love the fragrance and works great as a night lip mask. Only reason I gave it 4 stars is because of the price.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['little', 'go', 'long', 'way', 'love', 'fragrance', 'work', 'great', 'night', 'lip', 'mask', 'reason', 'give', '4', 'star', 'price']",Positive,Positive,little go long way love fragrance work great night lip mask reason give 4 star price,2,Positive,5.0
13,1,2023-03-17,Honestly I was so excited when I got this in the mail. But unfortunately it is not worth the hype :( I have boughten two of these full size and I went through them so quickly. The ingredients are not very clean and this product made my lips so dry. I wanted to like this product so bad as it’s so cute and smells nice. But unfortunately it is a hard pass for me. I will be sticking to my vaseline and aquaphor for now :/,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Negative,"['honestly', 'excite', 'get', 'mail', 'unfortunately', 'worth', 'hype', 'boughten', 'two', 'full', 'size', 'go', 'quickly', 'ingredient', 'clean', 'product', 'make', 'lip', 'dry', 'want', 'like', 'product', 'bad', '’', 'cute', 'smell', 'nice', 'unfortunately', 'hard', 'pas', 'stick', 'vaseline', 'aquaphor']",Negative,Positive,honestly excite get mail unfortunately worth hype boughten two full size go quickly ingredient clean product make lip dry want like product bad ’ cute smell nice unfortunately hard pas stick vaseline aquaphor,2,Positive,5.0
14,3,2023-03-16,Does the gummy bear mask smell absolutely delicious?! Yes. Does it do much for my lips overnight? Nope. They are dry and a little chapped in the morning. I honestly have better luck with my vaseline lip therapy but I am still keeping the Laneige to use as a daily balm.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Neutral,"['gummy', 'bear', 'mask', 'smell', 'absolutely', 'delicious', 'yes', 'much', 'lip', 'overnight', 'nope', 'dry', 'little', 'chapped', 'morning', 'honestly', 'well', 'luck', 'vaseline', 'lip', 'therapy', 'still', 'keep', 'laneige', 'use', 'daily', 'balm']",Neutral,Positive,gummy bear mask smell absolutely delicious yes much lip overnight nope dry little chapped morning honestly well luck vaseline lip therapy still keep laneige use daily balm,2,Positive,5.0
15,5,2023-03-16,"I just got this a few days ago, it’s amazing! I love the berry scent ! It’s very hydrating and my lips are so smooth and glossy . My lips are always chapped and dry this has really helped!",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['get', 'day', 'ago', '’', 'amaze', 'love', 'berry', 'scent', '’', 'hydrate', 'lip', 'smooth', 'glossy', 'lip', 'always', 'chapped', 'dry', 'really', 'help']",Positive,Positive,get day ago ’ amaze love berry scent ’ hydrate lip smooth glossy lip always chapped dry really help,2,Negative,4.0
16,5,2023-03-16,i love how hydrating this makes my lips feel! perfect for an overnight lip mask or just a gloss as well! lasts forever,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['love', 'hydrate', 'make', 'lip', 'feel', 'perfect', 'overnight', 'lip', 'mask', 'gloss', 'well', 'last', 'forever']",Positive,Positive,love hydrate make lip feel perfect overnight lip mask gloss well last forever,2,Positive,5.0
17,3,2023-03-15,It’s super glossy and looks amazing but doesn’t last very long after use.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Neutral,"['’', 'super', 'glossy', 'look', 'amaze', '’', 'last', 'long', 'use']",Neutral,Positive,’ super glossy look amaze ’ last long use,2,Positive,5.0
18,5,2023-03-15,"i have used this for about almost a year, and my lips are so soft once i use this! not only do i use it at night, but just when i need a quick moisturizing pick up for my lips :)",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['use', 'almost', 'year', 'lip', 'soft', 'use', 'use', 'night', 'need', 'quick', 'moisturize', 'pick', 'lip']",Neutral,Positive,use almost year lip soft use use night need quick moisturize pick lip,2,Positive,5.0
19,5,2023-03-15,"I have this in every colour except for sweet candy which will be my next purchase but I got the kit with the 5 minis for christmas and I honestly love these so much, I wake up and my lips are instantly smooth, I can also use it as a lipgloss and it’s honestly my favourite lip product ever.",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['every', 'colour', 'except', 'sweet', 'candy', 'next', 'purchase', 'get', 'kit', '5', 'mini', 'christmas', 'honestly', 'love', 'much', 'wake', 'lip', 'instantly', 'smooth', 'also', 'use', 'lipgloss', '’', 'honestly', 'favourite', 'lip', 'product', 'ever']",Positive,Positive,every colour except sweet candy next purchase get kit 5 mini christmas honestly love much wake lip instantly smooth also use lipgloss ’ honestly favourite lip product ever,2,Positive,5.0
20,2,2023-03-15,There’s nothing wrong with it but i think it was overhyped on tiktok. It actually made my lips a little dry.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Negative,"['’', 'nothing', 'wrong', 'think', 'overhyped', 'tiktok', 'actually', 'make', 'lip', 'little', 'dry']",Neutral,Negative,’ nothing wrong think overhyped tiktok actually make lip little dry,0,Positive,5.0
21,1,2023-03-14,Just like  Aquaphor just get something cheaper it’s just overrated. It’s good but they also animal test. ￼,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Negative,"['like', 'aquaphor', 'get', 'something', 'cheaper', '’', 'overrate', '’', 'good', 'also', 'animal', 'test', '￼']",Positive,Positive,like aquaphor get something cheaper ’ overrate ’ good also animal test ￼,2,Positive,4.0
22,5,2023-03-14,I just started using it but from the first night my lips felt way better. The next morning they even looked fuller which I’m not sure if that’s the intention but still! And the berry smell is so good!,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['start', 'use', 'first', 'night', 'lip', 'felt', 'way', 'well', 'next', 'morning', 'even', 'look', 'fuller', '’', 'sure', '’', 'intention', 'still', 'berry', 'smell', 'good']",Positive,Positive,start use first night lip felt way well next morning even look fuller ’ sure ’ intention still berry smell good,2,Positive,2.0
23,5,2023-03-14,This lip balm is the best I ever had. It works. It hydrates and last long. It has everything you need in a balm. It even has a little spatula that you can use to scoop the product easily and cleanly.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['lip', 'balm', 'best', 'ever', 'work', 'hydrate', 'last', 'long', 'everything', 'need', 'balm', 'even', 'little', 'spatula', 'use', 'scoop', 'product', 'easily', 'cleanly']",Neutral,Positive,lip balm best ever work hydrate last long everything need balm even little spatula use scoop product easily cleanly,2,Neutral,3.0
24,2,2023-03-14,"Not worth the hype. My lips are still dry after using this product nightly,  had much better results with the Ilia Lip Wrap, and it’s a cleaner product.",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Negative,"['worth', 'hype', 'lip', 'still', 'dry', 'use', 'product', 'nightly', 'much', 'well', 'result', 'ilium', 'lip', 'wrap', '’', 'cleaner', 'product']",Neutral,Positive,worth hype lip still dry use product nightly much well result ilium lip wrap ’ cleaner product,2,Positive,4.0
25,5,2023-03-14,Super hydrating and smells really good unlike certain lip masks,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['super', 'hydrate', 'smell', 'really', 'good', 'unlike', 'certain', 'lip', 'mask']",Positive,Positive,super hydrate smell really good unlike certain lip mask,2,Neutral,5.0
26,4,2023-03-13,i love this product!! it leaves my lips so hydrated and the colour is immaculate,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['love', 'product', 'leaf', 'lip', 'hydrate', 'colour', 'immaculate']",Positive,Positive,love product leaf lip hydrate colour immaculate,2,Positive,4.0
27,1,2023-03-13,i really tried to love this ☹️ i wore it to sleep every night for a month but every time i woke up with lips chapped and peeling.overhyped and not worth the money- just use vasaline,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Negative,"['really', 'try', 'love', '☹️', 'wore', 'sleep', 'every', 'night', 'month', 'every', 'time', 'woke', 'lip', 'chapped', 'peeling.overhyped', 'worth', 'money-', 'use', 'vasaline']",Positive,Positive,really try love ☹️ wore sleep every night month every time woke lip chapped peeling.overhyped worth money- use vasaline,2,Negative,5.0
28,5,2023-03-13,Love this!!! I’m obsessed with the Gummy bear scent. This stuff is so thick and creamy. Lasts for hours.  Very hydrating. Loved it so much I bought the daytime gloss! Candy also smells amazing!!!,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['love', '’', 'obsess', 'gummy', 'bear', 'scent', 'stuff', 'thick', 'creamy', 'last', 'hour', 'hydrate', 'love', 'much', 'bought', 'daytime', 'gloss', 'candy', 'also', 'smell', 'amaze']",Positive,Positive,love ’ obsess gummy bear scent stuff thick creamy last hour hydrate love much bought daytime gloss candy also smell amaze,2,Positive,5.0
29,4,2023-03-12,I love this lippy…it makes my lips soft and also is helping my acne scars to fake and no idea why!!,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['love', 'lippy…it', 'make', 'lip', 'soft', 'also', 'help', 'acne', 'scar', 'fake', 'idea']",Positive,Negative,love lippy…it make lip soft also help acne scar fake idea,0,Positive,2.0
30,1,2023-03-12,"dried my lips out sooooooo bad. literally were cracked, peeling, and bleeding. I stopped using it and it got better. def do not recommend buying this",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Negative,"['dry', 'lip', 'sooooooo', 'bad', 'literally', 'crack', 'peel', 'bleeding', 'stop', 'use', 'get', 'well', 'def', 'recommend', 'buying']",Negative,Negative,dry lip sooooooo bad literally crack peel bleeding stop use get well def recommend buying,0,Positive,5.0
31,1,2023-03-12,"I used this product daily last week, and my lips hurt. I stopped using it and just used Aquaphor to heal them, and they are doing much better. I might be allergic to this product.",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Negative,"['use', 'product', 'daily', 'last', 'week', 'lip', 'hurt', 'stop', 'use', 'use', 'aquaphor', 'heal', 'much', 'well', 'might', 'allergic', 'product']",Neutral,Positive,use product daily last week lip hurt stop use use aquaphor heal much well might allergic product,2,Positive,5.0
32,2,2023-03-12,"I really loved this product and did use the whole thing, it lasted over 6 months and I thought did a decent job. The only problem is that I noticed part of my lip started to get super dry and no matter how much I used, how frequently I reapplied, exfoliated my lips, it did not get better. Nothing else in my routine changed except for adding this product in so this did cause my lips to dry out and didn’t fix it. It’s not worth the price, Vaseline works just as good and never dried my lips out.",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Negative,"['really', 'love', 'product', 'use', 'whole', 'thing', 'last', '6', 'month', 'thought', 'decent', 'job', 'problem', 'notice', 'part', 'lip', 'start', 'get', 'super', 'dry', 'matter', 'much', 'use', 'frequently', 'reapplied', 'exfoliate', 'lip', 'get', 'well', 'nothing', 'else', 'routine', 'change', 'except', 'add', 'product', 'cause', 'lip', 'dry', '’', 'fix', '’', 'worth', 'price', 'vaseline', 'work', 'good', 'never', 'dry', 'lip']",Positive,Positive,really love product use whole thing last 6 month thought decent job problem notice part lip start get super dry matter much use frequently reapplied exfoliate lip get well nothing else routine change except add product cause lip dry ’ fix ’ worth price vaseline work good never dry lip,2,Positive,5.0
33,5,2023-03-12,"This product is amazing! I use it before bed, and also throughout the day as a lip balm. It’s so smooth and feels amazing! It doesn’t have a sticky feeling at all. My lips are soft and smooth since adding this my routine. I will definitively be purchasing again.",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['product', 'amaze', 'use', 'bed', 'also', 'throughout', 'day', 'lip', 'balm', '’', 'smooth', 'feel', 'amaze', '’', 'sticky', 'feel', 'lip', 'soft', 'smooth', 'since', 'add', 'routine', 'definitively', 'purchasing']",Neutral,Positive,product amaze use bed also throughout day lip balm ’ smooth feel amaze ’ sticky feel lip soft smooth since add routine definitively purchasing,2,Positive,5.0
34,2,2023-03-12,In my opinion it’s very over hyped. It’s not very moisturizing (I prefer Tarte Jelly Glaze over this and it’s also half the price) which is the whole point. It’s not horrible but it’s not good either.  Plus I’m pretty sure they test on animals so that doesn’t make me appealed to buy again.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Negative,"['opinion', '’', 'hyped', '’', 'moisturize', 'prefer', 'tarte', 'jelly', 'glaze', '’', 'also', 'half', 'price', 'whole', 'point', '’', 'horrible', '’', 'good', 'either', 'plus', '’', 'pretty', 'sure', 'test', 'animal', '’', 'make', 'appeal', 'buy']",Positive,Positive,opinion ’ hyped ’ moisturize prefer tarte jelly glaze ’ also half price whole point ’ horrible ’ good either plus ’ pretty sure test animal ’ make appeal buy,2,Positive,5.0
35,4,2023-03-12,I almost want to wear this all day long. It’s so tasty and so pretty when it’s on. The only reason I didn’t give it a 5 star is because it doesn’t really stay on long enough. Definitely not all night long.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['almost', 'want', 'wear', 'day', 'long', '’', 'tasty', 'pretty', '’', 'reason', '’', 'give', '5', 'star', '’', 'really', 'stay', 'long', 'enough', 'definitely', 'night', 'long']",Neutral,Positive,almost want wear day long ’ tasty pretty ’ reason ’ give 5 star ’ really stay long enough definitely night long,2,Positive,5.0
36,5,2023-03-11,It is so moisturizing and keeps my lips super soft and hydrated.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['moisturize', 'keep', 'lip', 'super', 'soft', 'hydrate']",Neutral,Positive,moisturize keep lip super soft hydrate,2,Positive,5.0
37,5,2023-03-11,"I am super impressed with this lip mask. I use it at bedtime and wake up with soft lips! ( I struggle with cracked and peeling lips every winter ) I also use it on top of my lip liner in the morning for a plumped, soft look.",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['super', 'impressed', 'lip', 'mask', 'use', 'bedtime', 'wake', 'soft', 'lip', 'struggle', 'crack', 'peel', 'lip', 'every', 'winter', 'also', 'use', 'top', 'lip', 'liner', 'morning', 'plumped', 'soft', 'look']",Neutral,Positive,super impressed lip mask use bedtime wake soft lip struggle crack peel lip every winter also use top lip liner morning plumped soft look,2,Positive,5.0
38,1,2023-03-11,I used to like this product until I found out it has BHT in it which is HAZARDOUS. Please do your research on the ingredients and you’ll see this is horrible for you and your body especially if ingested.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Negative,"['use', 'like', 'product', 'found', 'bht', 'hazardous', 'please', 'research', 'ingredient', '’', 'see', 'horrible', 'body', 'especially', 'ingest']",Neutral,Negative,use like product found bht hazardous please research ingredient ’ see horrible body especially ingest,0,Positive,5.0
39,5,2023-03-11,"love this so much! I use it everyone night and it keeps my lips so hydrated because they used to always be so dry and chapped! 5 stars, 100% recommend!",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['love', 'much', 'use', 'everyone', 'night', 'keep', 'lip', 'hydrate', 'use', 'always', 'dry', 'chapped', '5', 'star', '100', 'recommend']",Positive,Positive,love much use everyone night keep lip hydrate use always dry chapped 5 star 100 recommend,2,Positive,3.0
40,5,2023-03-10,Obsessed with this! The first few days I wasn’t seeing ton of results but after using it consistently for a bit my lips are no longer chapped. I don’t have to reapply chapstick throughout the day. My lips also look fuller! Wasn’t excited about the price but a small amount works well.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['obsess', 'first', 'day', '’', 'see', 'ton', 'result', 'use', 'consistently', 'bit', 'lip', 'longer', 'chapped', '’', 'reapply', 'chapstick', 'throughout', 'day', 'lip', 'also', 'look', 'fuller', '’', 'excite', 'price', 'small', 'amount', 'work', 'well']",Neutral,Negative,obsess first day ’ see ton result use consistently bit lip longer chapped ’ reapply chapstick throughout day lip also look fuller ’ excite price small amount work well,0,Positive,5.0
41,2,2023-03-10,I’ve been using for a couple months now and it seems great when you first apply however I’ve seen no improvement in the long run. Luis are still dry and peeling.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Negative,"['’', 'use', 'couple', 'month', 'seem', 'great', 'first', 'apply', 'however', '’', 'see', 'improvement', 'long', 'run', 'luis', 'still', 'dry', 'peel']",Neutral,Positive,’ use couple month seem great first apply however ’ see improvement long run luis still dry peel,2,Negative,5.0
42,2,2023-03-10,I wanted to love this product so bad because of all the amazing reviews but it honestly makes my lips so disgustingly chapped. I’ve used other lip masks that this hasn’t happened with and went back to try the laniege one again and it gave me chapped lips again :(,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Negative,"['want', 'love', 'product', 'bad', 'amaze', 'review', 'honestly', 'make', 'lip', 'disgustingly', 'chapped', '’', 'use', 'lip', 'mask', '’', 'happen', 'go', 'back', 'try', 'laniege', 'one', 'give', 'chapped', 'lip']",Neutral,Negative,want love product bad amaze review honestly make lip disgustingly chapped ’ use lip mask ’ happen go back try laniege one give chapped lip,0,Negative,1.0
43,5,2023-03-09,"I’ve never used this kind of product, I tend to be very minimalist. After 1 night, I was already so impressed I had it mailed to a girlfriend as a gift. as far as scents go, if you’re shopping online - all of the other ones are strong smells, it all smells like 90s chapstick. This one is milder, easier to go to sleep next to someone imho",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['’', 'never', 'use', 'kind', 'product', 'tend', 'minimalist', '1', 'night', 'already', 'impressed', 'mail', 'girlfriend', 'gift', 'far', 'scent', 'go', '’', 'shopping', 'online', 'one', 'strong', 'smell', 'smell', 'like', '90', 'chapstick', 'one', 'milder', 'easy', 'go', 'sleep', 'next', 'someone', 'imho']",Neutral,Positive,’ never use kind product tend minimalist 1 night already impressed mail girlfriend gift far scent go ’ shopping online one strong smell smell like 90 chapstick one milder easy go sleep next someone imho,2,Positive,4.0
44,2,2023-03-09,"Don’t waste your money. I had gotten this as a sample, and used it as the directions said, it was very hydrating but overnight my lips were still dry... it’d supposed to hydrate my lips overnight. Maybe I’m just wrong",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Negative,"['’', 'waste', 'money', 'gotten', 'sample', 'use', 'direction', 'say', 'hydrate', 'overnight', 'lip', 'still', 'dry', '...', '’', 'suppose', 'hydrate', 'lip', 'overnight', 'maybe', '’', 'wrong']",Neutral,Negative,’ waste money gotten sample use direction say hydrate overnight lip still dry ... ’ suppose hydrate lip overnight maybe ’ wrong,0,Negative,1.0
45,3,2023-03-09,ive tried my friend’s a few times and it does good and smell nice but there are definitely dupes like the burts bee lip treatment that are much cheaper and as good,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Neutral,"['ive', 'try', 'friend', '’', 'time', 'good', 'smell', 'nice', 'definitely', 'dupe', 'like', 'burt', 'bee', 'lip', 'treatment', 'much', 'cheaper', 'good']",Positive,Positive,ive try friend ’ time good smell nice definitely dupe like burt bee lip treatment much cheaper good,2,Positive,5.0
46,5,2023-03-09,My lips were always so dry but this product made them so soft and hydrated. I put it on at night but also during the day over a lip tint. Love it!,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['lip', 'always', 'dry', 'product', 'make', 'soft', 'hydrate', 'put', 'night', 'also', 'day', 'lip', 'tint', 'love']",Positive,Positive,lip always dry product make soft hydrate put night also day lip tint love,2,Positive,5.0
47,5,2023-03-08,"It works, makes my lips soft so I don’t need to use chapstick throughout the day. Sometimes I use it as lip-gloss instead of a night mask.",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['work', 'make', 'lip', 'soft', '’', 'need', 'use', 'chapstick', 'throughout', 'day', 'sometimes', 'use', 'lip-gloss', 'instead', 'night', 'mask']",Neutral,Positive,work make lip soft ’ need use chapstick throughout day sometimes use lip-gloss instead night mask,2,Positive,4.0
48,5,2023-03-08,Literally love all of Laneige products. The lip sleeping mask has an amazing slip and it’s just the perfect overnight mask. Not sticky at all.,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['literally', 'love', 'laneige', 'product', 'lip', 'sleep', 'mask', 'amaze', 'slip', '’', 'perfect', 'overnight', 'mask', 'sticky']",Positive,Positive,literally love laneige product lip sleep mask amaze slip ’ perfect overnight mask sticky,2,Positive,5.0
49,5,2023-03-08,"I’ve had this lip sleeping mask for over a year now and it is the best overnight lip mask. When applied to my lips, it feels super soft and does not feel sticky. When I wake up, my lips are super soft and smooth. 10/10 get it now.",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['’', 'lip', 'sleep', 'mask', 'year', 'best', 'overnight', 'lip', 'mask', 'apply', 'lip', 'feel', 'super', 'soft', 'feel', 'sticky', 'wake', 'lip', 'super', 'soft', 'smooth', '10/10', 'get']",Neutral,Positive,’ lip sleep mask year best overnight lip mask apply lip feel super soft feel sticky wake lip super soft smooth 10/10 get,2,Positive,5.0
50,5,2023-03-08,"So good. I love the smell and I bought 3 times to use this product, we can use this lip sleeping mask in half a year, it is not expensive for 0.70.",Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,Positive,"['good', 'love', 'smell', 'bought', '3', 'time', 'use', 'product', 'use', 'lip', 'sleep', 'mask', 'half', 'year', 'expensive', '0.70']",Positive,Positive,good love smell bought 3 time use product use lip sleep mask half year expensive 0.70,2,Neutral,4.0
